steps,w1,w2,w3,w4,second,last
362,11.51099981,11.18733336,13.91565026,12.65280955,9.767972305,23.1693411
363,11.51099981,11.18733336,13.91565026,12.65280955,9.767972305,23.1693411
364,11.51099981,11.18733336,13.91565026,12.65280955,9.767972305,23.1693411
365,11.51099981,11.18733336,13.91565026,12.65280955,9.767972305,23.1693411
366,11.51099981,11.18733336,13.91565026,12.65280955,9.767972305,23.1693411
367,11.51099981,11.18733336,13.91565026,12.65280955,9.767972305,23.1693411
368,11.51099981,11.18733336,13.91565026,12.65280955,9.767972305,23.1693411
369,11.51099981,11.18733336,13.91565026,12.65280955,9.767972305,23.1693411
370,11.51099981,11.18733336,13.91565026,12.65280955,9.767972305,23.1693411
371,11.51099981,11.18733336,13.91565026,12.65280955,9.767972305,23.1693411
372,11.51099981,11.18733336,13.91565026,12.65280955,9.767972305,23.1693411
373,11.51099981,11.18733336,13.91565026,12.65280955,9.767972305,23.1693411
374,11.51099981,11.18733336,13.91565026,12.65280955,9.767972305,23.1693411
375,11.51099981,11.18733336,13.91565026,12.65280955,9.767972305,23.1693411
376,11.51099981,11.18733336,13.91565026,12.65280955,9.767972305,23.1693411
377,11.51099981,11.18733336,13.91565026,12.65280955,9.767972305,23.1693411
378,11.51099981,11.18733336,13.91565026,12.65280955,9.767972305,23.1693411
379,11.51099981,11.18733336,13.91565026,12.65280955,9.767972305,23.1693411
380,11.51099981,11.18733336,13.91565026,12.65280955,9.767972305,23.1693411
381,11.51099981,11.18733336,13.91565026,12.65280955,9.767972305,23.1693411
